 Name                                      Version      License                                           
 Authlib                                   1.6.5        BSD License                                       
 Brotli                                    1.1.0        MIT License                                       
 CacheControl                              0.14.3       UNKNOWN                                           
 ConfigArgParse                            1.7.1        MIT License                                       
 Flask                                     3.1.2        UNKNOWN                                           
 Flask-Login                               0.6.3        MIT License                                       
 Jinja2                                    3.1.6        BSD License                                       
 MarkupSafe                                3.0.3        UNKNOWN                                           
 PySocks                                   1.7.1        BSD                                               
 PyYAML                                    6.0.3        MIT License                                       
 Pygments                                  2.19.2       BSD License                                       
 Werkzeug                                  3.1.3        BSD License                                       
 allure-pytest                             2.15.0       Apache Software License                           
 allure-python-commons                     2.15.0       Apache Software License                           
 annotated-types                           0.7.0        MIT License                                       
 anyio                                     4.11.0       UNKNOWN                                           
 astroid                                   3.3.11       UNKNOWN                                           
 attrs                                     25.3.0       UNKNOWN                                           
 bandit                                    1.8.6        Apache-2.0                                        
 bidict                                    0.23.1       Mozilla Public License 2.0 (MPL 2.0)              
 black                                     25.9.0       MIT License                                       
 blinker                                   1.9.0        MIT License                                       
 boltons                                   21.0.0       BSD License                                       
 boolean.py                                5.0          BSD-2-Clause                                      
 bracex                                    2.6          MIT License                                       
 certifi                                   2025.10.5    Mozilla Public License 2.0 (MPL 2.0)              
 cffi                                      2.0.0        UNKNOWN                                           
 charset-normalizer                        3.4.3        MIT                                               
 click                                     8.1.8        BSD License                                       
 click-option-group                        0.5.8        BSD License                                       
 colorama                                  0.4.6        BSD License                                       
 coverage                                  7.10.7       Apache-2.0                                        
 cryptography                              46.0.2       UNKNOWN                                           
 cyclonedx-python-lib                      9.1.0        Apache Software License                           
 defusedxml                                0.7.1        Python Software Foundation License                
 dill                                      0.4.0        BSD License                                       
 distro                                    1.9.0        Apache Software License                           
 dparse                                    0.6.4        MIT License                                       
 exceptiongroup                            1.2.2        MIT License                                       
 execnet                                   2.1.1        MIT License                                       
 face                                      24.0.0       BSD                                               
 fastapi                                   0.118.0      MIT License                                       
