Package              Version Latest  Type
-------------------- ------- ------- -----
boltons              21.0.0  25.0.0  wheel
click                8.1.8   8.3.0   wheel
cyclonedx-python-lib 9.1.0   11.1.0  wheel
exceptiongroup       1.2.2   1.3.0   wheel
gevent               25.5.1  25.9.1  wheel
glom                 22.1.0  24.11.0 wheel
jsonschema           4.20.0  4.25.1  wheel
mcp                  1.12.2  1.16.0  wheel
pydantic_core        2.33.2  2.40.1  wheel
python-socketio      5.13.0  5.14.1  wheel
rich                 13.5.3  14.1.0  wheel
ruamel.yaml.clib     0.2.12  0.2.14  wheel
tomli                2.0.2   2.2.1   wheel
wcmatch              8.5.2   10.1    wheel
